index,query,result_title,result_summary,expected_tag,llm_tag,llm_reason,confidence,is_correct,case_key,reviewed
56.0,美团 外卖 红包,饿了么 霸王餐 免费领,饿了么每日免单活动参与技巧。,完全不相关,推荐场景衍生内容,"1. 宏观领域判断：查询'美团 外卖 红包'与结果'饿了么 霸王餐 免费领'都属于【本地生活服务/外卖平台】超大行业，领域一致。
2. 核心诉求与实体二维分析：
   - 用户核心诉求：获取外卖平台的红包/优惠（美团外卖红包）。
   - 结果核心诉求：获取外卖平台的免费活动参与技巧（饿了么霸王餐）。
   - 核心实体：从'美团'变为'饿了么'（竞品替换）。
   - 核心动作/诉求：从'获取红包'变为'参与免费活动技巧'，虽然都是获取优惠，但具体形式从红包变为霸王餐活动技巧，诉求发生了偏移。
3. 严苛修饰词检查：没有丢失具体限制词/定语的情况。
4. 综合判断：实体发生了竞品替换（美团变饿了么），但核心诉求从'红包'变为'霸王餐活动技巧'，形式发生了明显偏移。这符合'场景衍生'的定义：宏观领域一致，但用户要解决的问题（具体优惠形式）发生了偏移。",85,False,美团 外卖 红包 || 饿了么 霸王餐 免费领 || 饿了么每日免单活动参与技巧。,
57.0,考研 英语 真题,考研 英语 辅导班 推荐,新东方和文都哪个更适合基础差的同学？,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：Query '考研 英语 真题' 与 Title/Summary '考研 英语 辅导班 推荐' 都属于【教育/考研】超大行业，领域一致。
2. 核心诉求与实体分析：
   - Query核心诉求：获取考研英语真题（具体学习资料/试题）。
   - Title/Summary核心诉求：推荐考研英语辅导班（培训服务/机构选择）。
   - 核心实体：Query是'真题'（资料），Title/Summary是'辅导班'（服务）。
   - 判断：用户的核心动作从'获取真题资料'偏移为'选择培训服务'，属于诉求/形式偏移。虽然宏观领域一致（考研英语），但任务目标从直接学习材料变为寻求外部培训帮助。
3. 修饰词检查：没有丢失具体限制词（如年份、地域），主语从'真题'变为'辅导班'，属于核心实体变化伴随诉求偏移。
4. 最终判定：符合【场景衍生】定义——宏观领域一致，但用户要解决的问题（从获取资料变为选择培训服务）发生明显偏移。",85,True,考研 英语 真题 || 考研 英语 辅导班 推荐 || 新东方和文都哪个更适合基础差的同学？,
58.0,地下城与勇士,欧美 地下城 探险 电影,古墓丽影等经典夺宝探险类电影盘点。,query理解有误,query理解有误,"1. 宏观领域判断：Query '地下城与勇士'是知名网络游戏（DNF），属于游戏领域。Title和Summary讨论的是'欧美地下城探险电影'，属于影视领域。两者属于不同超大行业（游戏 vs 影视）。
2. 多义词排雷：'地下城'一词存在多义性——在游戏语境中指DNF的核心玩法场景，在影视语境中可能指探险电影中的地下场景。这属于典型的一词多义导致的概念偷换（游戏术语变影视场景）。
3. 核心诉求分析：用户搜索游戏相关信息，但返回的是电影盘点，核心诉求完全偏移。
4. 根据判定大纲第一步：存在一词多义（'地下城'）导致的概念偷换，应判为【query理解有误】。
5. 置信度评估：边界清晰，符合经典判例中'苹果'水果变手机的类比模式。",95,True,地下城与勇士 || 欧美 地下城 探险 电影 || 古墓丽影等经典夺宝探险类电影盘点。,
59.0,高考 数学 全国一卷,高考 数学 全国二卷 压轴题,难度对比与解题思路大公开。,丢词搜不准,推荐同领域内容,"1. 宏观领域判断：Query“高考 数学 全国一卷”和Title“高考 数学 全国二卷 压轴题”都属于【教育/考试】超大领域，且核心实体“高考数学”一致，不存在跨界或多义词问题。
2. 核心诉求与实体分析：用户的核心诉求是获取关于“全国一卷”的内容，但结果提供了“全国二卷”的内容。这属于核心实体“全国一卷”被替换为同分类下的兄弟实体“全国二卷”（都是高考数学全国卷的不同版本），属于平行实体替换。
3. 修饰词检查：Query中的“全国一卷”是核心实体（主语）的一部分，不是修饰主语的限制词/定语。根据红线规则，丢失主语（如从“全国一卷”变“全国二卷”）不算“丢词搜不准”，而应归为实体替换。
4. 结论：符合【推荐同领域内容（平行实体替换）】的定义，即核心动作/诉求（获取高考数学内容）没变，仅核心实体（全国一卷变全国二卷）被同级替换。",95,False,高考 数学 全国一卷 || 高考 数学 全国二卷 压轴题 || 难度对比与解题思路大公开。,
61.0,降噪 蓝牙 耳机,HiFi 有线 监听 耳机,发烧友必备，回归最纯粹的无损音质。,丢词搜不准,推荐场景衍生内容,"1. 宏观领域判断：查询'降噪 蓝牙 耳机'与结果'HiFi 有线 监听 耳机'都属于【耳机/音频设备】超大行业，领域一致。
2. 核心诉求与实体分析：查询的核心诉求是'降噪'（主动降噪功能）和'蓝牙'（无线连接），核心实体是'耳机'。结果的核心诉求是'HiFi'（高保真音质）、'有线'（有线连接）、'监听'（专业监听用途），核心实体也是'耳机'。
   - 实体未变（都是耳机），但核心诉求发生了明显偏移：从'降噪+蓝牙'（无线降噪功能）变为'HiFi+有线+监听'（有线高保真专业用途）。
   - 这符合类别B【推荐场景衍生内容】的定义：核心实体没变，但用户要做的核心动作/诉求/形式发生了明显偏移（从追求无线降噪体验变为追求有线高保真专业监听）。
3. 修饰词检查：查询中的'降噪'和'蓝牙'是核心诉求关键词，不是修饰主语的定语（如年份、型号、地域），因此不属于丢词搜不准。
4. 结论：属于【推荐场景衍生内容】。",90,False,降噪 蓝牙 耳机 || HiFi 有线 监听 耳机 || 发烧友必备，回归最纯粹的无损音质。,
62.0,胃痛 怎么 缓解,偏头痛 发作 怎么办,日常生活中常见的神经性头痛快速缓解方法。,推荐同领域内容,完全不相关,"1. 宏观领域判断：查询'胃痛怎么缓解'属于消化系统/肠胃健康领域，标题'偏头痛发作怎么办'属于神经系统/头痛领域。两者属于不同的医学细分领域，但都属于'健康医疗'这个超大行业。
2. 多义词检查：'痛'字在两者中都表示疼痛症状，但'胃痛'和'偏头痛'是两种完全不同的疾病类型，不存在一词多义导致的概念偷换。
3. 核心诉求分析：用户查询的核心诉求是'缓解胃痛'，而搜索结果提供的是'缓解偏头痛'。虽然都是'缓解疼痛'的诉求，但疼痛的具体类型（胃部疼痛 vs 头部神经性疼痛）发生了本质变化。
4. 实体与动作判断：核心实体从'胃痛'变成了'偏头痛'，这不是同分类下的兄弟实体替换（胃痛和偏头痛不是同一类疾病）。核心动作'缓解'虽然相同，但应用对象完全不同。
5. 边界判断：这种情况处于模糊边界——两者都属于健康问题，都有'疼痛缓解'的共性，但具体疾病类型完全不同。按照严格原则，这不符合'同领域'定义（核心任务目标完全一致），也不完全是'场景衍生'（核心实体和诉求都发生了偏移）。
6. 最终判定：更接近'完全不相关'，因为胃痛和偏头痛在医学上是两种完全不同的病症，缓解方法也差异很大，用户的核心需求没有得到满足。",85,False,胃痛 怎么 缓解 || 偏头痛 发作 怎么办 || 日常生活中常见的神经性头痛快速缓解方法。,
63.0,仰卧起坐 怎么做,俯卧撑 标准 姿势 教学,零基础新手如何做一个标准的俯卧撑。,推荐同领域内容,推荐同领域内容,"1. 宏观领域判断：用户查询'仰卧起坐 怎么做'属于健身/运动领域，搜索结果'俯卧撑 标准 姿势 教学'也属于健身/运动领域，宏观领域一致。
2. 核心诉求与实体分析：用户核心诉求是学习'仰卧起坐'这个具体动作的做法，搜索结果提供的是'俯卧撑'这个不同动作的教学。虽然两者都属于健身动作，但'仰卧起坐'和'俯卧撑'是不同的核心实体（不同健身动作），用户的'核心动作/诉求'（学习具体动作做法）没有变化，只是实体被替换为同领域（健身动作）下的其他兄弟实体。
3. 严苛修饰词检查：没有丢失修饰词的情况，主语从'仰卧起坐'变为'俯卧撑'，属于实体替换而非修饰词丢失。
4. 边界判断：这属于典型的平行实体替换案例，符合'推荐同领域内容（平行实体替换）'的定义。置信度较高。",95,True,仰卧起坐 怎么做 || 俯卧撑 标准 姿势 教学 || 零基础新手如何做一个标准的俯卧撑。,
64.0,西游记 原著 解读,红楼梦 人物 关系 图谱,一张图带你看懂贾史王薛四大家族。,推荐同领域内容,推荐场景衍生内容,"1. 宏观领域判断：查询《西游记 原著 解读》与结果《红楼梦 人物 关系 图谱》均属于【文学/古典小说】超大领域，无跨界。
2. 核心诉求与实体分析：查询的核心实体是《西游记》，结果的核心实体是《红楼梦》，两者为不同古典小说作品。查询的核心诉求是“解读原著”，结果的核心诉求是“展示人物关系图谱”，诉求从文本分析转向可视化关系展示，发生了偏移。
3. 修饰词检查：查询中的“原著”和“解读”是核心诉求的一部分，而非修饰主语的定语；结果丢失了核心实体《西游记》，替换为《红楼梦》，这属于实体替换而非丢词。
4. 综合判定：宏观领域一致（文学），但核心实体从《西游记》变为《红楼梦》（平行实体替换），同时核心诉求从“解读”变为“图谱展示”（诉求偏移）。根据判定大纲，实体替换且诉求偏移应优先归类为【推荐场景衍生内容】，因为用户要解决的问题（从解读文本到查看关系图）发生了明显变化。",85,False,西游记 原著 解读 || 红楼梦 人物 关系 图谱 || 一张图带你看懂贾史王薛四大家族。,
65.0,红烧肉 做法,苏东坡 与 东坡肉 的 历史 渊源,探寻中华传统名菜背后的文人故事。,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：用户搜索'红烧肉 做法'属于【烹饪/美食制作】领域，返回结果'苏东坡 与 东坡肉 的 历史 渊源'属于【美食文化/历史典故】领域。两者在【超大行业/超大类目】层面都属于【饮食文化】范畴，没有完全跨界。
2. 核心诉求与实体分析：用户的核心诉求是【获取烹饪方法/做法】，核心实体是【红烧肉】。返回结果的核心诉求是【了解历史渊源/文化故事】，核心实体是【东坡肉】。虽然红烧肉和东坡肉都属于猪肉类菜肴，在烹饪领域有一定关联，但用户的【核心动作/诉求】从'获取做法'变成了'了解历史'，发生了明显偏移。
3. 修饰词检查：没有出现丢失具体限制词/定语的情况。
4. 边界判断：这个案例存在一定模糊性，因为东坡肉和红烧肉在烹饪实践中有时会被混淆或关联讨论，但根据核心原则中'场景衍生'的定义——'宏观领域一致，但用户要解决的问题（任务/动作）发生了偏移'，这符合场景衍生的特征。用户想要的是'怎么做'，系统给的是'历史故事'，诉求发生了根本性变化。",85,True,红烧肉 做法 || 苏东坡 与 东坡肉 的 历史 渊源 || 探寻中华传统名菜背后的文人故事。,
66.0,钢琴 基础 乐理,小提琴 入门 技巧,弦乐初学者的指法与持弓练习。,推荐同领域内容,推荐场景衍生内容,"1. 宏观领域判断：查询'钢琴 基础 乐理'属于音乐学习领域，标题'小提琴 入门 技巧'也属于音乐学习领域，两者在超大行业/超大类目上一致，不存在跨界或多义词问题。
2. 核心诉求与实体分析：查询的核心诉求是学习基础乐理知识，核心实体是钢琴；标题的核心诉求是学习入门技巧，核心实体是小提琴。虽然宏观领域一致（音乐学习），但核心实体从钢琴变成了小提琴（不同乐器），且核心诉求从'基础乐理'变成了'入门技巧'（乐理知识vs演奏技巧）。
3. 严格区分原则：根据核心原则，这不符合'同领域'定义（核心任务目标完全一致，仅具体对象同级替换），因为钢琴和小提琴虽然都是乐器，但用户的核心任务目标（学习钢琴乐理vs学习小提琴技巧）发生了偏移。这属于宏观领域一致，但用户要解决的问题（任务/动作）发生了偏移，符合'场景衍生'定义。
4. 修饰词检查：查询没有丢失具体限制词/定语，主语'钢琴'未丢失，因此不属于'丢词搜不准'。
5. 最终判定：核心实体和核心诉求均发生偏移，属于场景衍生内容。",85,False,钢琴 基础 乐理 || 小提琴 入门 技巧 || 弦乐初学者的指法与持弓练习。,
67.0,王者荣耀 充值,王者荣耀 李白 背景 故事,长安城剑客的恩怨情仇，王者宇宙世界观。,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：Query为'王者荣耀 充值'，属于游戏充值/消费领域；Title为'王者荣耀 李白 背景 故事'，属于游戏角色背景故事/世界观领域。两者都属于'游戏'这个超大行业，宏观领域一致。
2. 核心诉求与实体分析：Query的核心诉求是'充值'（消费行为），核心实体是'王者荣耀'；Title的核心诉求是'了解角色背景故事'（信息获取），核心实体是'王者荣耀'和'李白'。虽然核心实体'王者荣耀'一致，但用户的【核心动作/诉求】发生了根本性偏移：从消费行为变为信息获取。
3. 修饰词检查：没有丢失具体限制词/定语的情况，主语'王者荣耀'未丢失。
4. 边界判断：这属于宏观领域一致但核心诉求发生明显偏移的情况，符合'场景衍生'的定义。虽然都涉及王者荣耀，但用户要解决的问题从'如何充值'变成了'了解角色故事'，任务类型完全不同。",85,True,王者荣耀 充值 || 王者荣耀 李白 背景 故事 || 长安城剑客的恩怨情仇，王者宇宙世界观。,
68.0,iPhone 15 购买,iPhone 15 碎屏 官方 维修 价格,苹果官方售后换屏幕到底需要多少钱？,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：Query 'iPhone 15 购买' 与 Title/Summary 'iPhone 15 碎屏 官方 维修 价格' 都属于【消费电子/智能手机】超大行业，领域一致。
2. 核心诉求与实体二维判断：
   - 核心实体：均为 iPhone 15，未变。
   - 核心动作/诉求：Query 是『购买』（获取新机），Title/Summary 是『维修价格』（售后维修）。两者诉求从『购买新机』偏移为『维修服务』，属于用户要解决的问题（任务/动作）发生了明显偏移。
   - 对照判例：类似判例4（找导演变找作品集）、判例5（看结局变看花絮），属于【核心实体】未变但【核心诉求】偏移的情况。
3. 修饰词检查：未涉及具体限制词/定语丢失（如年份、型号、地域），且主语 iPhone 15 未丢失，不属于丢词搜不准。
4. 结论：符合【场景衍生】定义——宏观领域一致，但用户核心诉求从『购买』偏移为『维修』。",95,True,iPhone 15 购买 || iPhone 15 碎屏 官方 维修 价格 || 苹果官方售后换屏幕到底需要多少钱？,
69.0,4K 高清 电脑 壁纸,复古 像素 风 模糊 手机 壁纸,极简颗粒感复古美学背景图。,丢词搜不准,推荐场景衍生内容,"1. 宏观领域判断：查询'4K高清电脑壁纸'与结果'复古像素风模糊手机壁纸'都属于【壁纸/背景图】超大行业，领域一致。
2. 核心诉求与实体分析：查询的核心诉求是获取【高清（4K）】、【电脑】壁纸；结果提供的是【复古像素风】、【模糊】、【手机】壁纸。
   - 核心实体：壁纸（未变）。
   - 核心动作/诉求：从获取高清电脑壁纸变为获取复古模糊手机壁纸，发生了明显偏移（高清→模糊，电脑→手机，现代风格→复古像素风）。
3. 严苛修饰词检查：查询中的'4K'、'高清'、'电脑'均为关键修饰词，结果完全丢失了这些限制条件，但根据红线规则，'壁纸'是主语，丢失'4K'、'高清'、'电脑'属于修饰词丢失，但诉求偏移更显著。
4. 综合判定：虽然涉及修饰词丢失，但核心诉求（高清电脑壁纸 vs. 复古模糊手机壁纸）发生了根本性偏移，属于场景衍生。",85,False,4K 高清 电脑 壁纸 || 复古 像素 风 模糊 手机 壁纸 || 极简颗粒感复古美学背景图。,
70.0,感冒 药,为什么 现代 医学 无法 消灭 病毒,感冒病毒变异的生物学机制科普。,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：Query'感冒药'属于医疗健康/药品领域，Title'为什么现代医学无法消灭病毒'属于医学科学/病毒学领域，两者都属于医疗健康大类目，宏观领域一致。
2. 核心诉求与实体分析：Query的核心诉求是寻找治疗感冒的药品（具体解决方案），核心实体是'感冒药'；Title的核心诉求是解释医学科学原理（知识科普），核心实体是'病毒'。虽然都与感冒相关，但用户要解决的问题从'获取治疗方案'偏移到了'理解科学原理'，核心动作/诉求发生了明显变化。
3. 修饰词检查：没有丢失具体限制词的情况，'感冒'作为主语而非修饰词。
4. 综合判断：这属于宏观领域一致但核心诉求/任务发生偏移的情况，符合'场景衍生'定义。",85,True,感冒 药 || 为什么 现代 医学 无法 消灭 病毒 || 感冒病毒变异的生物学机制科普。,
71.0,故宫 博物院 门票,颐和园 游玩 路线 推荐,北京周边皇家园林的一日游攻略。,推荐同领域内容,推荐场景衍生内容,"1. 宏观领域判断：查询'故宫博物院门票'与结果'颐和园游玩路线推荐'都属于【旅游/景点】超大行业，宏观领域一致。
2. 核心诉求与实体分析：查询的核心诉求是获取故宫博物院的门票信息（购买/预订），核心实体是故宫博物院；结果的核心诉求是推荐颐和园的游玩路线（攻略/规划），核心实体是颐和园。
3. 关键判断点：虽然两者都是北京皇家园林类景点（宏观领域一致），但核心实体从故宫变为颐和园（平行实体替换），且核心诉求从获取门票信息变为游玩路线推荐（诉求/形式偏移）。
4. 根据判定大纲：当核心实体替换且核心诉求同时偏移时，应优先按【核心诉求偏移】判断。参考判例4-6，这属于场景衍生（从找门票信息变为找游玩攻略）。
5. 修饰词检查：没有丢失具体限制词（如年份、型号等），主语已完全改变。
6. 最终归因：符合类别B【推荐场景衍生内容】的定义。",85,False,故宫 博物院 门票 || 颐和园 游玩 路线 推荐 || 北京周边皇家园林的一日游攻略。,
72.0,太阳系 八大 行星,银河系 黑洞 探秘,宇宙天体物理的奥秘与科普知识。,推荐同领域内容,推荐场景衍生内容,"1. 宏观领域判断：查询'太阳系八大行星'与结果'银河系黑洞探秘'都属于【宇宙天体/天文】这一超大行业/超大类目，宏观领域一致，不存在跨界或多义词问题（如'太阳系'与'银河系'均为天文概念，无歧义）。
2. 核心诉求与实体二维判断：查询的核心诉求是了解太阳系内具体的行星信息（八大行星），核心实体是'太阳系'和'行星'；结果的核心诉求是探索银河系中的黑洞奥秘，核心实体是'银河系'和'黑洞'。虽然宏观领域一致（天文），但核心实体从'太阳系'变为'银河系'、'行星'变为'黑洞'，这并非同级替换（如太阳系内行星之间的替换），而是从太阳系跳转到银河系、从行星跳转到黑洞，属于不同天体类别和尺度。同时，核心诉求从'了解行星'偏移为'探秘黑洞'，任务目标发生明显变化。
3. 严苛修饰词检查：查询无具体修饰词（如年份、型号），不存在丢词问题。
4. 综合判定：这属于宏观领域一致但核心实体和诉求均发生偏移，符合'场景衍生'定义（用户要解决的问题从'太阳系行星知识'偏移为'银河系黑洞探秘'）。不符合'同领域'（核心实体非同级替换）或'丢词搜不准'（无修饰词丢失）。",85,False,太阳系 八大 行星 || 银河系 黑洞 探秘 || 宇宙天体物理的奥秘与科普知识。,
73.0,李白 诗集 赏析,杜甫 经典 绝句 讲解,体会诗圣笔下的忧国忧民与盛唐由盛转衰。,推荐同领域内容,推荐同领域内容,1. 宏观领域判断：查询'李白 诗集 赏析'与结果'杜甫 经典 绝句 讲解'均属于【古典文学/唐诗】超大领域，无跨界。2. 核心诉求与实体分析：查询的核心诉求是'赏析李白诗集'，核心实体是'李白'；结果的核心诉求是'讲解杜甫绝句'，核心实体是'杜甫'。两者核心诉求（赏析/讲解诗词）高度一致，但核心实体从'李白'替换为'杜甫'，属于同分类下的兄弟实体替换（唐代著名诗人）。3. 修饰词检查：查询无具体限制词丢失（如特定诗集名称、年代等）。4. 结论：符合类别A【推荐同领域内容】定义——用户核心动作（赏析/讲解诗词）未变，仅核心实体发生同级替换（诗人替换）。,95,True,李白 诗集 赏析 || 杜甫 经典 绝句 讲解 || 体会诗圣笔下的忧国忧民与盛唐由盛转衰。,
74.0,进口 天然 猫粮,国产 烘焙 猫粮 推荐,性价比首选！打破国外品牌垄断的国产之光。,丢词搜不准,丢词搜不准,"1. 宏观领域判断：查询'进口 天然 猫粮'与结果'国产 烘焙 猫粮 推荐'均属于宠物食品/猫粮领域，属于同一超大行业，无跨界问题。
2. 核心诉求与实体分析：用户查询的核心诉求是寻找'进口'且'天然'的猫粮，核心实体是'猫粮'。结果提供了'国产'、'烘焙'猫粮推荐。
   - 核心实体未变（均为猫粮），但'进口'变'国产'是核心限制词的完全对立替换，'天然'变'烘焙'是产品属性的偏移。
   - 根据严苛修饰词丢失检查：'进口'和'天然'是修饰'猫粮'的关键限制词/定语，结果中这两个限制词均未满足（国产替代进口，烘焙替代天然），属于丢失了用户明确指定的修饰词。
   - 防坑红线：主语'猫粮'未丢失，因此不属于场景衍生或不相关。
3. 归因判断：用户的核心动作（寻找猫粮）未变，但结果丢失了'进口'和'天然'这两个具体限制词，提供了更泛化的猫粮推荐，符合'丢词搜不准（纵向降维）'的定义。",85,True,进口 天然 猫粮 || 国产 烘焙 猫粮 推荐 || 性价比首选！打破国外品牌垄断的国产之光。,
75.0,莫扎特 钢琴 协奏曲,贝多芬 命运 交响曲,西方古典音乐史上的旷世巨作赏析。,推荐同领域内容,推荐同领域内容,"1. 宏观领域判断：查询'莫扎特 钢琴 协奏曲'与结果'贝多芬 命运 交响曲'都属于西方古典音乐领域，属于同一个超大行业/超大类目，不存在跨界或多义词问题。
2. 核心诉求与实体二维判断：查询的核心诉求是寻找特定作曲家（莫扎特）的特定音乐类型（钢琴协奏曲），而结果提供了不同作曲家（贝多芬）的不同音乐类型（交响曲）。虽然宏观领域一致，但核心实体（莫扎特变贝多芬）和音乐类型（钢琴协奏曲变交响曲）都发生了变化。
3. 根据判定大纲，这属于用户的【核心动作/诉求】没变（都是寻找古典音乐作品），但【核心实体】被替换成了同分类下的其他兄弟实体（作曲家替换，音乐类型替换）。符合类别A【推荐同领域内容（平行实体替换）】的定义，如判例2'周杰伦演唱会'变'林俊杰演唱会'。
4. 严苛修饰词检查：没有丢失修饰词的情况，主语（作曲家、音乐类型）发生了变化，不属于丢词搜不准。
5. 结论：归因为'推荐同领域内容'。",90,True,莫扎特 钢琴 协奏曲 || 贝多芬 命运 交响曲 || 西方古典音乐史上的旷世巨作赏析。,
76.0,故宫 门票 预约,故宫 建筑 风水学 揭秘,紫禁城中轴线与古代帝王的风水布局。,推荐场景衍生内容,推荐场景衍生内容,"1. 宏观领域判断：查询'故宫 门票 预约'与结果'故宫 建筑 风水学 揭秘'都涉及故宫/紫禁城，属于同一超大领域（历史文化/旅游）。无跨界或多义词问题。
2. 核心诉求与实体分析：查询的核心诉求是'预约门票'（购买/预订动作），核心实体是'故宫'。结果的核心诉求是'揭秘风水学'（知识探索/揭秘动作），核心实体仍是'故宫'。实体未变，但核心诉求从'预约门票'变为'揭秘风水学'，发生了明显偏移。
3. 修饰词检查：查询无具体限制词（如日期、类型），不存在丢词问题。'门票'是核心诉求的一部分，不是修饰主语的定语，因此不适用丢词搜不准。
4. 结论：符合类别B'推荐场景衍生内容'，因为核心实体未变，但核心诉求/动作从'预约'偏移为'揭秘'。",95,True,故宫 门票 预约 || 故宫 建筑 风水学 揭秘 || 紫禁城中轴线与古代帝王的风水布局。,
77.0,完美世界 游戏,完美主义 性格 的 心理 分析,如何克服做事要求极度完美的强迫症？,query理解有误,完全不相关,"1. 宏观领域判断：查询'完美世界 游戏'属于游戏/娱乐领域，标题'完美主义 性格 的 心理 分析'属于心理学/性格分析领域。两者属于完全不同的超大行业，毫无交集。
2. 多义词排雷：查询中的'完美世界'是特定游戏名称（如中国网络游戏《完美世界》），而标题中的'完美主义'是心理学概念。虽然都包含'完美'二字，但这是两个完全不同的概念，不存在'一词多义'导致的概念偷换（如'苹果'水果变手机那种情况）。
3. 核心诉求分析：用户搜索游戏相关信息，但返回的是心理学性格分析内容，用户的核心任务目标（了解游戏）与返回内容（心理分析）完全不一致。
4. 修饰词检查：不适用，因为已判定为完全不相关。
5. 最终判定：这是纯粹的跨界且无核心多义词歧义，符合'蔡徐坤'变'原神'那种无关紧要字面重合的情况。",95,False,完美世界 游戏 || 完美主义 性格 的 心理 分析 || 如何克服做事要求极度完美的强迫症？,
78.0,免费 在线 电影,腾讯 视频 VIP 会员 付费 电影,最新院线大片，独家超清资源。,丢词搜不准,丢词搜不准,"1. 宏观领域判断：Query'免费 在线 电影'与Title'腾讯 视频 VIP 会员 付费 电影'都属于【影视娱乐】超大行业，领域一致。
2. 核心诉求分析：Query的核心诉求是'免费观看在线电影'，强调'免费'属性；Title提供的是'VIP会员付费电影'，核心诉求是'付费观看'。
3. 二维判断：核心实体'电影'未变，但用户的【核心诉求】从'免费'偏移为'付费'，属于诉求/形式偏移。
4. 修饰词检查：Query中的'免费'是修饰'在线电影'的关键限制词，Title完全丢失了这个限制词，但根据红线规则，'免费'不是主语而是修饰词，符合丢词特征。
5. 边界判断：此案例同时符合'诉求偏移'（场景衍生）和'丢词'特征，但'免费'作为核心诉求的关键修饰词，其丢失直接导致诉求反转，优先判定为【丢词搜不准】。",85,True,免费 在线 电影 || 腾讯 视频 VIP 会员 付费 电影 || 最新院线大片，独家超清资源。,
79.0,故宫 建筑 风格,长城 砖墙 防御 体系,古代中国宏伟建筑的工程智慧。,推荐同领域内容,推荐场景衍生内容,1. 宏观领域判断：故宫和长城都属于【古代中国宏伟建筑】这个超大行业/超大类目，宏观领域一致。2. 核心诉求与实体二维判断：用户搜索'故宫 建筑 风格'，核心诉求是了解故宫的建筑风格特征；搜索结果'长城 砖墙 防御 体系'，核心诉求是了解长城的防御工程体系。虽然都是古代建筑，但核心诉求从'建筑风格'偏移到了'防御体系'，属于核心动作/诉求发生了明显偏移。3. 严苛修饰词检查：没有丢失具体限制词/定语的情况。4. 边界判断：故宫和长城虽然都是中国古代著名建筑，但建筑风格和防御体系属于不同的知识维度，存在一定模糊性，需要标记低置信度。,65,False,故宫 建筑 风格 || 长城 砖墙 防御 体系 || 古代中国宏伟建筑的工程智慧。,
80.0,Excel 快捷键,微软 Office 软件 发展 历史,从远古版本到现代化云办公的演变。,推荐场景衍生内容,推荐场景衍生内容,"第一步：宏观领域判断。Query是'Excel 快捷键'，属于办公软件操作技巧；Title是'微软 Office 软件发展历史'，属于软件发展史。两者都属于【办公软件】这个超大行业，没有跨界。

第二步：核心诉求与实体分析。Query的核心诉求是学习Excel的具体操作技巧（快捷键使用），核心实体是Excel。Title的核心诉求是了解Office软件的发展历程，核心实体是Office软件。虽然Excel是Office的一部分，但用户的【核心动作/诉求】从'学习具体操作技巧'变成了'了解发展历史'，发生了明显的偏移。

第三步：修饰词检查。Query没有丢失修饰词，'Excel'是主语不是修饰词，'快捷键'是核心诉求的一部分。

根据判定大纲：这符合类别B【推荐场景衍生内容】的定义——核心实体（Excel/Office）有部分关联，但用户要做的核心动作/诉求发生了明显偏移（从操作技巧变发展历史）。参考判例4'流浪地球2导演→郭帆作品合集'的类似逻辑。",85,True,Excel 快捷键 || 微软 Office 软件 发展 历史 || 从远古版本到现代化云办公的演变。,
81.0,苹果 iPhone 15 Pro,iPhone 15 标准版 上手 体验,今年最值得买的基础版苹果手机。,丢词搜不准,丢词搜不准,"1. 宏观领域判断：Query是'苹果 iPhone 15 Pro'，Title是'iPhone 15 标准版 上手 体验'，两者都属于智能手机/消费电子领域，宏观领域完全一致。
2. 核心诉求分析：用户搜索的是iPhone 15 Pro（Pro型号），但返回的是iPhone 15标准版（基础型号）。用户的【核心动作/诉求】都是了解特定iPhone型号，但【核心实体】从Pro型号变成了标准版型号。
3. 严格区分原则：这属于【核心动作/诉求】没变（都是了解iPhone手机），但【核心实体】被替换成了同分类下的其他兄弟实体（Pro型号变标准版型号）。
4. 严苛修饰词检查：'Pro'是修饰'iPhone 15'的具体型号限制词，丢失了这个修饰词导致返回了错误的型号。但根据防坑红线，'iPhone 15'是主语，'Pro'是修饰主语的定语/限制词，这符合'丢词搜不准'的定义（主语没变，动作没变，丢失了具体限制词）。
5. 边界判断：虽然实体从Pro变标准版可以视为'同领域内容'的平行实体替换，但更精确地看，这是丢失了'Pro'这个关键修饰词导致的搜索结果不准确。根据判例7（2024跨年变2023跨年）的逻辑，这属于'丢词搜不准'。",85,True,苹果 iPhone 15 Pro || iPhone 15 标准版 上手 体验 || 今年最值得买的基础版苹果手机。,
82.0,和平精英 灵敏度,维护 世界 和平 的 国际 组织,联合国的历史作用与维和部队的日常。,query理解有误,query理解有误,"1. 宏观领域判断：Query '和平精英 灵敏度' 是游戏设置相关，属于游戏/电竞领域；Title/Summary '维护世界和平的国际组织' 是国际政治/组织相关，属于政治/国际关系领域。两者属于完全不同的超大行业/超大类目，毫无交集。
2. 多义词排雷：'和平'一词存在多义性，在Query中指游戏名称《和平精英》，在Title/Summary中指国际和平概念。这属于典型的一词多义导致的概念偷换（游戏名称变政治概念）。
3. 根据判定大纲第一步：存在一词多义导致的概念偷换 → 应判【query理解有误】。
4. 置信度评估：边界清晰，无模糊情况。",95,True,和平精英 灵敏度 || 维护 世界 和平 的 国际 组织 || 联合国的历史作用与维和部队的日常。,
